ZONA;RED;CIUDAD;AGENCIA;TIPO;MES;CUATRIMESTRE;ACTITUD;DESTREZAS DE SERVICIOS;IMAGEN Y ORDEN;CLIENTE FANTASMA;LEALTAD_ESFUERZO;LEALTAD_RECOMENDACIÓN;LEALTAD_RECOMPRA;LEALTAD_SATISFACCIÓN;ENCUESTA DE LEALTAD;INDICE CALIDAD DE SERVICIO;column.Auxiliar
ZONA 1;RED AGENCIAS;QUITO;CUMBAYA;AGENCIA;dic-22;C3;100,0%;100,0%;100,0%;100,0%;0,00%;100,00%;100,00%;100,00%;100,0%;100,0%;1
ZONA 1;RED AGENCIAS;QUITO;FUNDACION VISTA PARA TODOS;EXPRESS;dic-22;C3;100,0%;100,0%;100,0%;100,0%;10,00%;100,00%;100,00%;85,00%;95,0%;97,5%;1
ZONA 1;RED AGENCIAS;QUITO;GUAMANI;AGENCIA;dic-22;C3;100,0%;100,0%;100,0%;100,0%;5,00%;90,00%;100,00%;80,00%;90,0%;95,0%;1
ZONA 1;RED AGENCIAS;QUITO;LA COMPAÑIA;AGENCIA;dic-22;C3;100,0%;100,0%;100,0%;100,0%;15,00%;80,00%;90,00%;75,00%;81,7%;90,8%;1
ZONA 1;RED AGENCIAS;QUITO;LABRADOR;AGENCIA;dic-22;C3;100,0%;100,0%;100,0%;100,0%;0,00%;95,00%;100,00%;95,00%;96,7%;98,3%;1
ZONA 1;RED AGENCIAS;QUITO;MALDONADO;AGENCIA;dic-22;C3;83,3%;100,0%;100,0%;90,0%;0,00%;90,00%;100,00%;80,00%;90,0%;90,0%;1
ZONA 1;RED AGENCIAS;QUITO;MOLINEROS;AGENCIA;dic-22;C3;100,0%;100,0%;100,0%;100,0%;0,00%;95,00%;100,00%;95,00%;96,7%;98,3%;1
ZONA 1;RED AGENCIAS;QUITO;PANAMERICANA;AGENCIA;dic-22;C3;100,0%;100,0%;100,0%;100,0%;10,00%;85,00%;100,00%;85,00%;90,0%;95,0%;1
ZONA 1;RED AGENCIAS;QUITO;PATRIA;AGENCIA;dic-22;C3;100,0%;100,0%;100,0%;100,0%;5,00%;90,00%;100,00%;80,00%;90,0%;95,0%;1
ZONA 1;RED AGENCIAS;QUITO;PLAZA ALEGRIA;AGENCIA;dic-22;C3;71,4%;100,0%;100,0%;82,9%;5,00%;80,00%;100,00%;50,00%;76,7%;79,8%;1
ZONA 1;RED AGENCIAS;QUITO;PRENSA;AGENCIA;dic-22;C3;100,0%;100,0%;100,0%;100,0%;0,00%;80,00%;100,00%;75,00%;85,0%;92,5%;1
ZONA 1;RED AGENCIAS;QUITO;REINA VICTORIA;AGENCIA;dic-22;C3;85,7%;100,0%;100,0%;91,4%;5,00%;95,00%;100,00%;85,00%;93,3%;92,4%;1
